,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked
0,0.0,3,1,0,1,1,0,0,3
1,1.0,1,2,1,2,1,0,2,0
2,1.0,3,3,1,1,0,0,0,3
3,1.0,1,2,1,2,1,0,2,3
4,0.0,3,1,0,2,0,0,0,3
5,0.0,3,1,0,2,0,0,0,2
6,0.0,1,1,0,3,0,0,2,3
7,0.0,3,4,0,0,3,1,1,3
8,1.0,3,2,1,1,0,2,1,3
9,1.0,2,2,1,0,1,0,2,0
10,1.0,3,3,1,0,1,1,1,3
11,1.0,1,3,1,3,0,0,1,3
12,0.0,3,1,0,1,0,0,0,3
13,0.0,3,1,0,2,1,5,2,3
14,0.0,3,3,1,0,0,0,0,3
15,1.0,2,2,1,3,0,0,1,3
16,0.0,3,4,0,0,4,1,1,2
17,1.0,2,1,0,2,0,0,1,3
18,0.0,3,2,1,2,1,0,1,3
19,1.0,3,2,1,2,0,0,0,0
20,0.0,2,1,0,2,0,0,1,3
21,1.0,2,1,0,2,0,0,1,3
22,1.0,3,3,1,0,0,0,0,2
23,1.0,1,1,0,2,0,0,2,3
24,0.0,3,3,1,0,3,1,1,3
25,1.0,3,2,1,2,1,5,2,3
26,0.0,3,1,0,2,0,0,0,0
27,0.0,1,1,0,0,3,2,3,3
28,1.0,3,3,1,2,0,0,0,2
29,0.0,3,1,0,2,0,0,0,3
30,0.0,1,5,0,3,0,0,1,0
31,1.0,1,2,1,2,1,0,3,0
32,1.0,3,3,1,2,0,0,0,2
33,0.0,2,1,0,3,0,0,1,3
34,0.0,1,1,0,2,1,0,2,0
35,0.0,1,1,0,3,1,0,2,3
36,1.0,3,1,0,2,0,0,0,0
37,0.0,3,1,0,1,0,0,0,3
38,0.0,3,3,1,0,2,0,1,3
39,1.0,3,3,1,0,1,0,1,0
40,0.0,3,2,1,3,1,0,0,3
41,0.0,2,2,1,1,1,0,1,3
42,0.0,3,1,0,2,0,0,0,0
43,1.0,2,3,1,0,1,2,2,0
44,1.0,3,3,1,0,0,0,0,2
45,0.0,3,1,0,2,0,0,0,3
46,0.0,3,1,0,2,1,0,1,2
47,0.0,3,1,0,2,2,0,1,0
48,0.0,3,2,1,0,1,0,1,3
49,0.0,3,4,0,0,4,1,2,3
50,0.0,3,1,0,1,0,0,0,3
51,1.0,1,2,1,3,1,0,2,0
52,1.0,2,2,1,2,1,0,1,3
53,0.0,1,1,0,3,0,1,2,0
54,1.0,2,3,1,1,0,0,1,3
55,0.0,3,1,0,2,0,0,0,0
56,1.0,2,3,1,0,1,2,1,3
57,0.0,3,4,0,0,5,2,2,3
58,0.0,3,1,0,1,0,0,0,0
59,1.0,1,3,1,2,0,0,2,3
60,0.0,1,1,0,3,1,0,2,3
61,0.0,3,4,0,0,3,2,1,3
62,0.0,1,1,0,2,0,0,1,0
63,1.0,3,4,0,2,1,1,1,0
64,1.0,2,2,1,2,0,0,1,3
65,0.0,3,1,0,0,0,0,0,3
66,1.0,3,3,1,0,4,2,0,3
67,0.0,3,1,0,1,2,0,0,3
68,0.0,2,1,0,2,0,0,1,3
69,0.0,3,3,1,0,5,2,2,3
70,0.0,2,1,0,1,0,0,2,3
71,0.0,3,1,0,1,1,0,1,0
72,1.0,3,1,0,2,0,0,2,3
73,0.0,3,1,0,1,0,0,0,3
74,1.0,2,4,0,0,0,2,1,3
75,1.0,3,3,1,2,0,0,1,3
76,0.0,3,1,0,1,0,0,0,3
77,1.0,3,1,0,2,0,0,0,3
78,1.0,3,3,1,2,0,0,0,2
79,0.0,1,1,0,2,0,0,2,3
80,1.0,2,3,1,0,0,0,1,3
81,1.0,3,2,1,2,3,0,1,3
82,0.0,3,1,0,0,1,3,2,3
83,1.0,1,3,1,1,3,2,3,3
84,0.0,3,1,0,1,0,0,0,3
85,0.0,3,1,0,2,0,0,0,3
86,0.0,3,1,0,1,0,0,0,3
87,0.0,1,1,0,3,1,0,2,3
88,0.0,3,1,0,1,1,2,1,3
89,0.0,3,1,0,3,0,0,0,3
90,0.0,1,1,0,3,0,0,2,0
91,1.0,1,1,0,1,0,1,2,0
92,1.0,2,2,1,2,0,1,1,3
93,0.0,2,1,0,2,1,0,1,3
94,0.0,3,3,1,2,0,0,0,3
95,0.0,1,1,0,1,0,1,2,3
96,0.0,3,1,0,2,0,0,0,3
97,0.0,3,1,0,2,2,0,0,3
98,1.0,3,3,1,1,0,0,0,3
99,1.0,3,1,0,2,0,0,0,3
100,0.0,3,1,0,2,0,0,0,3
101,1.0,3,3,1,2,1,0,1,2
102,0.0,1,1,0,3,0,0,2,3
103,0.0,3,3,1,0,1,0,1,0
104,0.0,3,1,0,1,0,0,0,3
105,0.0,3,3,1,1,1,0,0,3
106,0.0,3,3,1,0,0,0,1,0
107,0.0,3,1,0,1,0,0,0,3
108,0.0,3,1,0,3,0,0,0,2
109,0.0,2,1,0,2,1,0,1,3
110,0.0,1,1,0,1,0,1,3,0
111,0.0,3,3,1,0,4,2,2,3
112,0.0,2,1,0,1,2,0,2,3
113,0.0,2,1,0,2,1,0,2,0
114,1.0,2,3,1,2,0,0,1,3
115,0.0,1,1,0,3,0,1,2,3
116,1.0,3,4,0,0,1,0,1,0
117,0.0,3,1,0,2,0,0,0,2
118,1.0,3,1,0,1,0,0,0,3
119,1.0,3,3,1,2,1,1,1,0
120,0.0,3,1,0,3,0,0,0,3
121,0.0,3,1,0,2,0,0,0,0
122,0.0,3,1,0,1,0,0,0,3
123,0.0,3,2,1,3,1,0,1,3
124,0.0,2,1,0,1,0,0,1,3
125,0.0,2,1,0,1,0,0,1,0
126,1.0,1,3,1,0,0,2,1,3
127,0.0,1,1,0,2,1,0,2,3
128,0.0,3,1,0,0,0,0,0,3
129,0.0,1,1,0,1,0,0,2,0
130,0.0,3,2,1,2,0,2,1,0
131,1.0,3,3,1,1,0,0,0,3
132,1.0,3,2,1,1,1,0,1,3
133,0.0,3,1,0,0,0,0,0,2
134,0.0,2,1,0,0,0,0,1,3
135,0.0,2,1,0,0,1,1,2,3
136,1.0,3,1,0,1,0,0,0,3
137,0.0,3,3,1,0,2,2,2,3
138,0.0,2,1,0,2,0,2,1,3
139,0.0,2,5,0,3,0,0,1,3
140,0.0,2,5,0,3,0,0,1,3
141,1.0,1,2,1,1,1,0,2,3
142,0.0,3,1,0,3,0,0,0,3
143,0.0,3,1,0,3,0,2,1,3
144,0.0,3,1,0,2,0,0,0,3
145,0.0,1,1,0,3,0,1,2,0
146,1.0,3,3,1,0,0,0,0,2
147,0.0,3,1,0,2,0,0,0,3
148,0.0,3,1,0,2,0,0,0,3
149,0.0,3,4,0,2,8,2,2,3
150,0.0,3,1,0,3,0,1,1,3
151,1.0,2,2,1,3,0,0,1,3
152,0.0,3,1,0,1,0,0,0,3
153,0.0,3,1,0,0,0,0,0,3
154,0.0,3,4,0,0,4,1,2,3
155,1.0,3,4,0,0,0,2,1,3
156,1.0,1,2,1,2,0,1,2,3
157,0.0,3,2,1,3,1,4,1,3
158,0.0,1,1,0,2,0,0,1,3
159,0.0,3,1,0,2,0,0,2,3
160,0.0,1,1,0,3,0,0,2,3
161,0.0,3,4,0,0,4,1,1,2
162,1.0,3,3,1,0,1,1,1,3
163,0.0,1,1,0,3,0,0,2,0
164,0.0,3,1,0,0,1,1,0,3
165,0.0,3,4,0,2,3,1,1,3
166,0.0,1,3,1,3,0,0,1,0
167,0.0,2,1,0,2,0,0,1,3
168,0.0,3,1,0,2,0,0,0,3
169,0.0,3,3,1,2,8,2,2,3
170,0.0,2,1,0,2,0,0,1,0
171,0.0,3,4,0,0,4,2,2,3
172,1.0,2,4,0,0,2,1,2,3
173,1.0,3,3,1,0,0,2,1,3
174,0.0,1,1,0,2,0,0,2,3
175,1.0,3,2,1,2,1,0,1,2
176,1.0,1,1,0,3,0,0,1,3
177,0.0,3,1,0,3,1,1,1,2
178,0.0,3,1,0,2,0,0,0,3
179,1.0,2,2,1,2,0,0,1,3
180,0.0,2,1,0,0,0,0,1,3
181,1.0,3,3,1,0,1,0,0,3
182,1.0,2,4,0,0,1,1,1,3
183,1.0,1,2,1,3,0,0,1,0
184,1.0,1,3,1,3,0,0,3,0
185,0.0,3,1,0,3,0,1,0,3
186,0.0,2,3,1,1,0,0,1,3
187,0.0,3,1,0,2,0,0,0,3
188,0.0,3,1,0,2,8,2,2,3
189,0.0,3,1,0,2,0,0,0,3
190,0.0,3,1,0,3,0,0,0,0
191,1.0,3,1,0,0,0,0,0,3
192,0.0,3,3,1,0,0,1,1,3
193,0.0,3,1,0,2,1,0,1,3
194,1.0,3,1,0,1,0,0,1,0
195,1.0,3,3,1,0,0,0,0,2
196,1.0,1,1,0,3,0,0,2,0
197,0.0,3,1,0,1,0,0,0,3
198,1.0,2,3,1,2,0,0,1,3
199,0.0,3,1,0,1,0,0,0,3
200,0.0,3,1,0,2,1,0,0,2
201,1.0,1,3,1,2,1,0,3,0
202,1.0,3,3,1,1,0,0,0,3
203,0.0,2,1,0,3,1,0,1,3
204,1.0,1,3,1,2,0,0,2,0
205,0.0,2,1,0,2,0,0,1,3
206,1.0,3,1,0,0,0,0,0,3
207,0.0,2,1,0,1,0,0,1,3
208,0.0,3,1,0,3,0,0,0,3
209,1.0,1,1,0,2,1,0,2,3
210,0.0,3,1,0,1,0,0,0,3
211,1.0,2,1,0,0,0,0,1,3
212,0.0,3,1,0,1,0,0,0,3
213,0.0,2,1,0,0,0,0,1,3
214,0.0,3,3,1,2,3,1,1,3
215,1.0,1,2,1,2,1,0,2,3
216,0.0,3,1,0,2,0,0,0,3
217,0.0,2,1,0,3,0,0,1,3
218,1.0,3,3,1,0,4,2,2,3
219,0.0,2,1,0,1,0,0,1,3
220,0.0,3,3,1,2,0,0,0,3
221,0.0,2,1,0,3,1,0,1,3
222,1.0,2,3,1,0,0,2,1,3
223,0.0,2,1,0,0,0,0,1,3
224,0.0,2,1,0,2,0,0,1,3
225,0.0,3,3,1,2,1,0,1,0
226,1.0,3,3,1,2,1,0,1,2
227,0.0,2,1,0,2,0,0,1,3
228,0.0,3,1,0,1,0,0,0,3
229,0.0,3,1,0,2,0,0,0,0
230,0.0,1,5,0,3,2,0,2,2
231,0.0,3,3,1,1,0,0,0,3
232,1.0,2,2,1,1,0,2,1,3
233,1.0,1,1,0,2,1,1,2,3
234,0.0,2,5,0,3,1,0,1,3
235,0.0,3,1,0,2,0,0,0,3
236,0.0,3,2,1,2,1,1,1,3
237,0.0,1,1,0,3,0,0,1,3
238,0.0,3,1,0,2,1,0,1,3
239,0.0,3,2,1,3,0,2,1,3
240,1.0,3,2,1,2,0,2,1,0
241,1.0,1,2,1,2,0,0,2,0
242,1.0,1,3,1,2,0,0,2,3
243,1.0,1,3,1,2,0,0,3,0
244,1.0,2,2,1,3,0,1,1,3
245,1.0,3,4,0,0,4,2,2,3
246,0.0,1,1,0,3,1,1,2,3
247,0.0,1,1,0,3,0,0,0,3
248,0.0,3,3,1,2,0,0,0,2
249,0.0,2,1,0,2,0,0,1,3
250,0.0,3,1,0,0,4,1,2,3
251,1.0,3,1,0,1,1,0,0,3
252,1.0,1,2,1,3,0,1,3,3
253,1.0,1,3,1,2,0,0,3,3
254,0.0,1,1,0,2,0,0,2,3
255,1.0,3,1,0,1,0,0,0,3
256,1.0,2,2,1,3,0,1,1,3
257,0.0,1,1,0,2,0,1,1,0
258,1.0,1,3,1,3,1,0,2,3
259,0.0,3,3,1,3,0,0,0,3
260,0.0,2,1,0,2,0,0,0,3
261,0.0,3,4,0,0,4,1,1,2
262,1.0,3,2,1,2,1,1,1,3
263,0.0,3,1,0,3,0,0,0,2
264,0.0,3,1,0,2,0,0,0,3
265,0.0,3,1,0,0,0,0,0,3
266,1.0,3,1,0,0,0,0,0,3
267,0.0,1,1,0,2,0,0,1,3
268,0.0,3,1,0,2,0,0,0,0
269,1.0,3,1,0,2,0,0,0,3
270,0.0,3,1,0,1,0,0,0,3
271,1.0,2,1,0,3,0,0,1,3
272,1.0,3,3,1,1,0,0,0,2
273,1.0,1,3,1,1,0,0,2,3
274,1.0,1,2,1,0,1,0,2,0
275,0.0,2,1,0,2,0,0,1,0
276,0.0,3,3,1,1,0,0,0,3
277,0.0,3,1,0,1,0,0,0,3
278,0.0,3,1,0,1,0,0,0,0
279,0.0,1,3,1,0,1,2,3,3
280,1.0,1,1,0,2,0,0,2,3
281,1.0,1,2,1,3,0,1,3,0
282,1.0,3,1,0,2,2,0,1,2
283,0.0,3,1,0,0,0,0,0,3
284,1.0,2,3,1,2,0,0,1,2
285,1.0,1,4,0,0,1,2,3,3
286,1.0,1,3,1,2,0,0,3,0
287,1.0,1,2,1,0,1,0,3,0
288,0.0,2,1,0,2,1,0,1,0
289,1.0,1,3,1,2,0,0,2,0
290,1.0,1,3,1,1,0,0,2,0
291,1.0,1,3,1,0,2,2,3,0
292,0.0,2,2,1,1,1,1,1,3
293,0.0,2,1,0,3,1,1,1,3
294,1.0,3,3,1,1,0,0,0,3
295,1.0,2,2,1,1,1,0,1,3
296,0.0,2,5,0,3,0,0,1,3
297,1.0,1,3,1,2,0,2,3,3
298,1.0,1,2,1,3,1,1,3,0
299,0.0,3,1,0,1,0,0,0,3
300,1.0,2,3,1,2,0,0,1,2
301,1.0,2,2,1,1,1,1,1,3
302,1.0,1,3,1,2,0,0,3,0
303,0.0,3,1,0,3,0,0,0,3
304,1.0,2,2,1,2,0,0,1,3
305,1.0,3,2,1,2,1,1,1,3
306,1.0,1,3,1,0,0,1,2,0
307,1.0,3,3,1,2,2,0,1,2
308,0.0,1,1,0,3,0,0,1,3
309,0.0,1,1,0,2,0,1,3,3
310,0.0,3,1,0,0,2,0,1,3
311,1.0,1,2,1,2,1,0,3,3
312,0.0,1,1,0,2,1,0,2,3
313,1.0,1,3,1,3,0,0,3,0
314,1.0,3,1,0,3,0,0,0,3
315,0.0,1,1,0,3,0,0,2,3
316,1.0,2,4,0,0,1,1,1,3
317,1.0,1,3,1,1,3,2,3,3
318,0.0,2,1,0,2,0,0,1,3
319,0.0,2,1,0,2,0,0,1,3
320,1.0,2,3,1,1,0,0,1,3
321,1.0,2,3,1,3,0,0,1,3
322,1.0,3,2,1,2,1,0,1,3
323,1.0,3,4,0,0,1,1,1,3
324,0.0,3,1,0,3,0,0,0,3
325,0.0,3,1,0,1,0,0,0,3
326,0.0,1,1,0,2,0,0,2,3
327,0.0,3,1,0,0,1,1,0,0
328,0.0,3,1,0,1,1,0,1,3
329,1.0,1,3,1,1,0,1,2,3
330,0.0,2,3,1,2,0,0,1,3
331,0.0,3,1,0,3,1,4,1,3
332,0.0,2,1,0,2,1,0,1,0
333,0.0,3,2,1,3,0,1,1,0
334,0.0,3,1,0,2,0,0,0,3
335,0.0,3,1,0,2,0,0,0,3
336,1.0,1,2,1,3,1,0,2,0
337,1.0,3,2,1,2,0,0,0,0
338,1.0,1,5,1,1,0,0,2,0
339,1.0,1,1,0,1,1,0,2,0
340,0.0,3,1,0,0,1,0,0,3
341,0.0,3,1,0,0,0,0,0,3
342,0.0,1,1,0,1,0,0,3,0
343,0.0,3,3,1,0,3,1,1,3
344,1.0,1,2,1,2,1,0,2,0
345,1.0,3,3,1,1,0,0,0,3
346,0.0,1,1,0,1,0,2,3,0
347,0.0,3,1,0,1,0,0,0,0
348,0.0,3,1,0,0,0,0,0,3
349,1.0,1,3,1,3,0,0,3,0
350,1.0,3,3,1,0,0,2,1,0
351,0.0,3,1,0,2,0,0,0,3
352,1.0,1,2,1,2,1,0,2,3
353,0.0,2,1,0,0,0,0,2,3
354,0.0,3,4,0,0,5,2,2,3
355,1.0,2,3,1,2,0,0,1,3
356,0.0,3,1,0,2,0,0,0,2
357,1.0,2,3,1,0,0,0,1,0
358,1.0,1,1,0,2,1,2,3,3
359,1.0,3,1,0,1,0,0,0,3
360,0.0,3,1,0,2,2,0,0,3
361,1.0,1,3,1,1,1,0,3,0
362,1.0,3,2,1,1,0,2,1,3
363,0.0,3,1,0,1,0,0,0,3
364,0.0,3,3,1,2,0,0,0,3
365,0.0,2,1,0,3,0,0,1,3
366,0.0,2,5,0,1,0,0,1,3
367,1.0,2,2,1,2,0,0,1,3
368,1.0,3,1,0,2,0,0,0,3
369,0.0,3,1,0,1,0,0,0,3
370,0.0,3,3,1,1,1,0,0,3
371,0.0,3,1,0,2,1,0,1,3
372,0.0,3,3,1,1,0,0,0,3
373,0.0,2,1,0,2,1,0,1,3
374,0.0,3,1,0,3,0,0,0,3
375,1.0,2,4,0,0,1,1,1,3
376,0.0,3,1,0,1,0,0,0,3
377,0.0,3,1,0,2,0,0,0,2
378,1.0,1,3,1,2,1,0,2,2
379,1.0,3,1,0,3,0,0,0,3
380,0.0,3,2,1,2,0,0,0,3
381,1.0,2,2,1,2,1,1,2,3
382,1.0,2,3,1,0,0,2,1,3
383,0.0,3,3,1,0,0,2,1,3
384,0.0,3,1,0,1,0,0,0,2
385,0.0,3,1,0,2,0,0,0,3
386,0.0,3,2,1,2,1,1,1,3
387,0.0,3,1,0,0,1,1,1,3
388,1.0,2,2,1,2,1,0,1,3
389,1.0,2,3,1,0,0,0,1,3
390,1.0,3,1,0,2,0,0,0,3
391,1.0,1,1,0,2,0,0,1,3
392,1.0,2,2,1,3,1,0,1,3
393,0.0,3,1,0,0,0,0,0,3
394,0.0,1,1,0,3,1,0,2,3
395,1.0,1,3,1,0,1,2,3,3
396,0.0,3,3,1,1,2,2,2,3
397,1.0,2,2,1,1,2,3,1,3
398,0.0,1,1,0,3,1,4,3,3
399,0.0,2,1,0,2,0,0,1,3
400,1.0,2,2,1,3,1,1,1,3
401,0.0,3,1,0,1,0,0,0,3
402,0.0,3,1,0,1,1,0,0,3
403,1.0,2,5,1,2,0,0,1,3
404,1.0,3,1,0,2,0,0,0,3
405,1.0,1,4,0,0,0,2,2,3
406,1.0,2,3,1,0,0,1,1,3
407,1.0,1,1,0,2,0,0,1,3
408,1.0,3,3,1,0,2,1,1,0
409,1.0,1,5,0,3,0,0,2,3
410,0.0,2,1,0,2,1,2,1,3
411,0.0,3,1,0,2,1,0,1,3
412,0.0,1,1,0,2,0,0,1,0
413,1.0,1,1,0,3,1,0,2,0
414,1.0,3,1,0,2,0,0,0,0
415,0.0,1,1,0,3,0,0,1,3
416,1.0,1,2,1,2,1,0,2,3
417,1.0,2,3,1,3,0,0,1,3
418,1.0,1,1,0,3,0,0,1,3
419,0.0,3,1,0,2,0,0,0,3
420,0.0,1,1,0,3,0,0,2,3
421,0.0,2,1,0,3,0,0,1,3
422,0.0,3,1,0,2,0,0,0,3
423,0.0,1,1,0,3,0,0,1,3
424,0.0,3,1,0,2,0,0,0,2
425,1.0,3,3,1,0,2,1,1,0
426,0.0,3,1,0,2,0,0,0,3
427,1.0,2,2,1,2,1,2,1,3
428,1.0,2,2,1,1,0,0,1,0
429,0.0,3,3,1,1,0,0,0,3
430,0.0,1,1,0,2,0,0,2,3
431,0.0,3,1,0,2,1,0,0,3
432,0.0,3,1,0,1,0,0,0,3
433,1.0,3,3,1,0,0,1,1,3
434,0.0,3,4,0,0,5,2,2,3
435,0.0,3,1,0,3,0,0,0,3
436,1.0,3,2,1,3,0,0,0,3
437,1.0,1,1,0,1,1,0,2,0
438,1.0,1,2,1,2,1,0,2,3
439,0.0,1,1,0,3,0,0,1,0
440,1.0,3,4,0,0,1,1,1,3
441,0.0,3,1,0,1,0,0,0,3
442,0.0,1,1,0,3,0,0,2,3
443,0.0,1,1,0,3,0,0,2,0
444,0.0,3,1,0,2,0,0,1,0
445,1.0,1,3,1,3,1,0,2,0
446,0.0,3,1,0,2,0,0,1,3
447,0.0,1,2,1,1,1,2,3,3
448,0.0,3,1,0,1,0,0,0,3
449,0.0,3,3,1,1,0,0,0,2
450,0.0,3,3,1,2,0,0,0,2
451,0.0,3,3,1,2,0,0,0,3
452,1.0,1,3,1,0,0,0,2,3
453,0.0,1,1,0,0,1,0,3,0
454,1.0,2,2,1,2,0,2,1,3
455,0.0,3,1,0,2,0,0,1,3
456,1.0,3,1,0,1,0,0,2,3
457,1.0,3,1,0,2,0,0,0,2
458,1.0,1,1,0,2,0,0,1,3
459,1.0,1,2,1,3,1,0,2,0
460,0.0,3,1,0,1,0,0,0,3
461,0.0,1,1,0,3,0,0,2,3
462,1.0,2,2,1,2,0,0,1,3
463,0.0,3,1,0,2,0,0,1,2
464,1.0,2,2,1,2,1,0,1,3
465,0.0,3,1,0,2,0,0,0,3
466,1.0,1,3,1,2,0,0,2,3
467,1.0,1,2,1,3,0,1,2,0
468,0.0,3,1,0,2,0,0,0,0
469,0.0,3,1,0,3,0,0,0,2
470,0.0,1,1,0,2,0,0,3,3
471,0.0,3,1,0,2,0,0,0,3
472,0.0,2,1,0,1,2,1,1,3
473,1.0,2,3,1,0,1,1,1,3
474,0.0,3,1,0,0,1,1,0,0
475,1.0,3,2,1,2,0,2,1,0
476,0.0,3,3,1,2,0,0,0,3
477,1.0,2,3,1,0,0,2,1,3
478,0.0,1,5,0,3,0,0,1,3
479,1.0,1,3,1,2,0,0,3,0
480,0.0,3,1,0,2,0,0,1,3
481,1.0,1,3,1,1,0,2,2,0
482,1.0,1,3,1,2,0,2,2,3
483,0.0,3,3,1,0,4,2,2,3
484,0.0,3,3,1,0,4,2,2,3
485,1.0,2,1,0,2,1,0,1,3
486,0.0,1,1,0,3,1,0,3,0
487,0.0,1,1,0,3,0,0,1,3
488,1.0,2,2,1,0,1,0,1,3
489,1.0,2,1,0,2,0,0,1,0
490,0.0,3,1,0,2,1,1,1,3
491,1.0,2,4,0,0,1,1,2,3
492,1.0,1,1,0,0,0,2,3,0
493,0.0,2,1,0,1,0,0,1,3
494,0.0,3,1,0,2,0,0,0,2
495,1.0,3,1,0,1,0,0,0,0
496,1.0,3,3,1,1,0,0,0,3
497,1.0,1,5,1,3,1,0,2,0
498,0.0,1,1,0,2,0,0,3,0
499,1.0,1,2,1,2,1,1,2,3
500,1.0,3,2,1,2,1,0,1,3
501,0.0,3,1,0,3,0,0,0,3
502,0.0,2,1,0,2,0,0,1,3
503,0.0,3,3,1,2,0,0,0,3
504,0.0,3,1,0,1,2,0,1,3
505,0.0,3,1,0,0,0,0,0,3
506,0.0,3,2,1,2,0,4,1,3
507,1.0,3,1,0,2,0,0,0,3
508,1.0,2,1,0,3,0,0,1,3
509,1.0,1,2,1,3,2,0,2,3
510,1.0,1,1,0,2,0,0,1,3
511,0.0,3,1,0,0,0,0,0,3
512,0.0,3,1,0,0,0,0,1,3
513,1.0,2,3,1,2,0,0,1,3
514,1.0,1,2,1,2,1,0,2,3
515,0.0,3,2,1,2,1,0,1,0
516,1.0,3,1,0,2,0,0,0,3
517,1.0,2,3,1,1,1,1,2,3
518,1.0,1,2,1,2,1,1,3,0
519,0.0,2,1,0,3,0,0,1,3
520,0.0,1,1,0,2,0,0,2,0
521,0.0,3,1,0,2,0,0,0,0
522,1.0,1,3,1,0,0,2,2,3
523,0.0,2,1,0,3,0,0,1,3
524,1.0,1,1,0,3,1,1,2,0
525,0.0,3,1,0,2,0,0,0,3
526,1.0,1,2,1,3,1,0,2,0
527,0.0,3,1,0,3,0,0,0,3
528,0.0,3,3,1,2,0,2,0,2
529,0.0,2,1,0,2,1,0,1,3
530,0.0,3,1,0,2,1,1,1,3
531,1.0,2,3,1,2,0,0,2,3
532,0.0,3,1,0,3,0,0,0,3
533,1.0,1,5,0,3,1,0,2,0
534,1.0,2,2,1,1,2,1,1,3
535,0.0,1,1,0,2,0,0,2,3
536,0.0,3,1,0,3,0,0,0,3
537,1.0,1,1,0,2,0,0,1,0
538,0.0,3,1,0,2,1,0,1,3
539,0.0,3,1,0,2,0,0,0,3
540,1.0,1,1,0,1,0,0,2,3
541,1.0,2,2,1,1,1,2,2,0
542,1.0,1,3,1,3,0,0,3,3
543,0.0,3,2,1,2,1,5,2,3
544,0.0,3,1,0,2,0,0,0,3
545,1.0,2,3,1,1,1,2,2,3
546,0.0,3,1,0,2,1,1,1,3
547,0.0,3,2,1,1,1,0,1,3
548,1.0,2,3,1,0,2,1,2,3
549,0.0,2,1,0,1,0,0,1,3
550,0.0,3,1,0,1,1,0,1,0
551,1.0,1,1,0,3,1,0,2,3
552,1.0,3,1,0,1,1,1,1,0
553,0.0,3,1,0,1,0,0,0,3
554,0.0,3,1,0,1,0,0,1,3
555,0.0,1,1,0,3,0,0,2,3
556,0.0,2,5,0,3,0,0,1,2
557,1.0,1,3,1,1,0,0,2,3
558,0.0,3,1,0,1,0,0,0,3
559,0.0,3,1,0,2,0,0,0,2
560,1.0,1,1,0,3,0,0,2,3
561,0.0,3,1,0,3,0,0,0,3
562,1.0,1,5,0,2,0,0,2,0
563,0.0,1,1,0,2,0,0,0,3
564,0.0,3,3,1,0,3,2,1,3
565,1.0,2,3,1,2,0,0,1,3
566,0.0,2,1,0,2,1,1,1,3
567,0.0,3,2,1,3,0,5,2,3
568,0.0,3,1,0,2,1,0,1,3
569,1.0,1,5,1,1,0,0,2,0
570,0.0,3,3,1,0,3,2,1,3
571,1.0,3,1,0,2,0,0,2,3
572,1.0,1,1,0,3,1,0,2,0
573,1.0,1,5,0,3,0,0,2,0
574,0.0,3,1,0,2,0,0,0,3
575,1.0,3,3,1,1,0,0,0,3
576,1.0,2,3,1,0,0,1,1,3
577,0.0,3,1,0,1,0,0,0,3
578,1.0,3,3,1,2,0,0,0,2
579,0.0,3,3,1,0,0,0,0,2
